type,delta,threads,serial_time_s,preprocessing_s,sssp_time_s,total_time_s,sssp_speedup,nodes_visited,parallel_relaxation_s,parallel_merge_s,find_min_bucket_s,work_available_s,snapshot_s,outgoing_clear_s,flatten_processed_s,bucket_erase_s,parallel_fraction_pct,effective_bandwidth_gbs,bandwidth_utilization_pct,effective_gflops
serial,,1,3.57222,,3.57222,3.57222,1.0,,,,,,,,,,,,,
parallel,25,1,3.57222,0.412747,5.46266,5.87541,0.6539,4400347,5.09099,0.269345,3.70312e-05,4.8331e-06,0.0926852,8.07261e-05,0.00551272,1.09617e-05,94.9752,0.707284,0.176821,0.126301
parallel,25,2,3.57222,0.916793,2.95351,3.8703,1.2095,4400347,2.64539,0.186856,7.18692e-05,9.7123e-06,0.110592,0.000253414,0.00591014,3.34657e-05,93.4026,1.30816,0.327039,0.2336
parallel,25,4,3.57222,2.00421,1.78809,3.7923,1.9978,4400347,1.54543,0.12937,0.000127157,2.02707e-05,0.102536,0.000468648,0.00558111,5.82444e-05,92.2755,2.16077,0.540193,0.385852
parallel,25,8,3.57222,1.7247,0.827575,2.55227,4.3165,4400347,0.694748,0.0673328,0.000185573,1.1785e-05,0.0539422,0.000609166,0.00601335,8.34591e-05,91.1646,4.66864,1.16716,0.833686
parallel,25,16,3.57222,1.18261,0.420735,1.60335,8.4904,4400347,0.334199,0.0369329,0.000321009,2.08821e-05,0.0360922,0.000906975,0.00694978,0.000120579,90.0486,9.18311,2.29578,1.63984
parallel,25,32,3.57222,0.586964,0.24932,0.836284,14.3279,4400347,0.191679,0.0231314,0.000524414,3.53418e-05,0.0196388,0.00123728,0.00687573,0.00016071,89.2318,15.4968,3.87419,2.76728
parallel,25,64,3.57222,0.368685,0.182753,0.551438,19.5467,4400347,0.129422,0.0236826,0.000970047,3.84492e-05,0.0114521,0.00187231,0.00715348,0.000260253,84.5317,21.1414,5.28534,3.77525
parallel,25,96,3.57222,0.273929,0.158384,0.432313,22.5542,4400347,0.102539,0.0226564,0.00208867,3.97381e-05,0.00943152,0.00258185,0.00841641,0.000323536,81.9031,24.3942,6.09855,4.35611
parallel,25,128,3.57222,0.210673,0.155421,0.366094,22.9842,4400347,0.0899996,0.0253117,0.00139642,4.58369e-05,0.0101014,0.00405748,0.00921932,0.000500396,78.0492,24.8593,6.21481,4.43915
parallel,25,256,3.57222,0.164517,0.204578,0.369096,17.4614,4400347,0.0773956,0.0269826,0.00882206,5.62398e-05,0.0242206,0.0210838,0.0125223,0.00096076,74.1492,18.8859,4.72148,3.37248
parallel,50,1,3.57222,0.412513,12.1042,12.5167,0.2951,4400347,11.3848,0.534966,2.23112e-05,3.83006e-06,0.15752,6.58948e-05,0.0223769,5.9912e-06,95.5119,0.319199,0.0797998,0.0569999
parallel,50,2,3.57222,0.971042,6.44985,7.42089,0.5538,4400347,5.85536,0.374545,4.4649e-05,5.6331e-06,0.193657,0.000189694,0.0206291,1.74744e-05,93.988,0.59903,0.149757,0.10697
parallel,50,4,3.57222,2.53083,3.77816,6.30899,0.9455,4400347,3.33397,0.252897,7.10608e-05,1.12155e-05,0.172828,0.000352422,0.0127425,3.08915e-05,92.9494,1.02263,0.255657,0.182612
parallel,50,8,3.57222,1.79922,1.73832,3.53753,2.055,4400347,1.49588,0.131012,0.000109804,1.33896e-05,0.0936482,0.000460892,0.0128903,4.35137e-05,91.9471,2.22264,0.55566,0.3969
parallel,50,16,3.57222,1.18683,0.879349,2.06618,4.0623,4400347,0.72619,0.0677139,0.000163628,2.18865e-05,0.0665741,0.00064401,0.0135219,6.47451e-05,91.4708,4.39376,1.09844,0.7846
parallel,50,32,3.57222,0.561675,0.521551,1.08323,6.8492,4400347,0.423714,0.0428529,0.000244453,2.1758e-05,0.034031,0.000951139,0.0141806,8.44253e-05,90.8153,7.408,1.852,1.32286
parallel,50,64,3.57222,0.367338,0.388364,0.755702,9.1981,4400347,0.300415,0.0469358,0.000415673,1.43857e-05,0.0191784,0.0016744,0.0125077,0.0001392,86.4875,9.94854,2.48713,1.77652
parallel,50,96,3.57222,0.263816,0.249635,0.513451,14.3098,4400347,0.172714,0.0360151,0.000534988,2.4193e-05,0.0143734,0.00183122,0.0154719,0.000169027,82.7455,15.4772,3.8693,2.76379
parallel,50,128,3.57222,0.22507,0.272762,0.497832,13.0965,4400347,0.18887,0.0386406,0.00231927,2.86838e-05,0.0136748,0.00264268,0.0150022,0.000214559,83.0159,14.1649,3.54123,2.52945
parallel,50,256,3.57222,0.155928,0.266662,0.42259,13.3961,4400347,0.136375,0.039447,0.00886356,4.1083e-05,0.0252184,0.0123322,0.0170287,0.000518234,77.5642,14.4889,3.62223,2.58731
